0.24,0.2879,0.81,0,16
0.22,0.2727,0.8,0,40
0.22,0.2727,0.8,0,32
0.24,0.2879,0.75,0,13
0.24,0.2879,0.75,0,1
0.22,0.2727,0.8,0,2
0.2,0.2576,0.86,0,3
0.24,0.2879,0.75,0,8
0.32,0.3485,0.76,0,14
0.38,0.3939,0.76,0.2537,36
0.42,0.4242,0.77,0.2836,84
0.46,0.4545,0.72,0.2985,94
0.46,0.4545,0.72,0.2836,106
0.44,0.4394,0.77,0.2985,110
0.42,0.4242,0.82,0.2985,93
0.42,0.4242,0.88,0.2537,35
0.42,0.4242,0.88,0.2537,37
0.4,0.4091,0.87,0.2537,36
0.4,0.4091,0.87,0.194,34
0.4,0.4091,0.94,0.2239,28
0.46,0.4545,0.88,0.2985,17
0.44,0.4394,0.94,0.2537,17
0.42,0.4242,1,0.2836,9
0.46,0.4545,0.94,0.194,6
0.46,0.4545,0.94,0.194,3
0.4,0.4091,0.76,0.194,1
0.4,0.4091,0.71,0.2239,8
0.38,0.3939,0.76,0.2239,20
0.36,0.3485,0.81,0.2239,53
0.36,0.3333,0.71,0.2537,70
0.36,0.3485,0.66,0.1343,75
0.36,0.3485,0.76,0.194,59
0.34,0.3333,0.81,0.1642,74
0.34,0.3333,0.71,0.1642,76
0.34,0.3333,0.57,0.194,65
0.32,0.2879,0.42,0.4478,30
0.3,0.2727,0.39,0.3582,22
0.26,0.2273,0.44,0.3284,31
0.24,0.2121,0.44,0.2985,9
0.22,0.2273,0.47,0.1642,8
0.2,0.1667,0.44,0.4179,2
0.16,0.1364,0.47,0.3881,1
0.16,0.1364,0.47,0.2836,3
0.14,0.1061,0.5,0.3881,30
0.14,0.1364,0.5,0.194,64
0.16,0.1364,0.43,0.3881,88
0.18,0.1667,0.43,0.2537,44
0.2,0.1818,0.4,0.3284,51
0.22,0.2121,0.35,0.2985,61
0.24,0.2121,0.35,0.2836,61
0.26,0.2424,0.3,0.2537,72
0.26,0.2424,0.3,0.2537,76
0.24,0.2273,0.3,0.2239,157
0.24,0.2576,0.32,0.1045,157
0.2,0.2576,0.47,0,110
0.18,0.197,0.64,0.1343,52
0.14,0.1515,0.69,0.1343,20
0.18,0.2121,0.55,0.1045,12
0.16,0.1818,0.55,0.1045,5
0.16,0.1818,0.59,0.1045,2
0.14,0.1818,0.63,0.0896,2
0.12,0.1515,0.68,0.1045,4
0.12,0.1515,0.74,0.1045,36
0.12,0.1515,0.74,0.1343,94
0.14,0.1515,0.69,0.1642,179
0.16,0.1364,0.69,0.3284,42
0.22,0.2121,0.51,0.2985,57
0.22,0.2273,0.51,0.1642,78
0.24,0.2273,0.56,0.194,97
0.26,0.2576,0.52,0.2239,63
0.3,0.2879,0.49,0.2537,83
0.28,0.2727,0.48,0.2239,212
0.26,0.2576,0.48,0.194,182
0.24,0.2576,0.48,0.1045,112
0.24,0.2576,0.48,0.1045,54
0.22,0.2576,0.64,0.0896,35
0.2,0.2273,0.69,0.0896,11
0.2,0.2576,0.64,0,6
0.16,0.197,0.74,0.0896,6
0.16,0.197,0.74,0.0896,2
0.22,0.2273,0.47,0.1642,3
0.2,0.197,0.47,0.2239,33
0.18,0.1818,0.43,0.194,88
0.2,0.1818,0.4,0.2985,195
0.22,0.197,0.37,0.3284,115
0.26,0.2273,0.33,0.3284,46
0.26,0.2273,0.33,0.3284,79
0.28,0.2576,0.3,0.2985,71
0.3,0.2879,0.28,0.194,62
0.3,0.2879,0.28,0.194,62
0.24,0.2273,0.38,0.194,190
0.24,0.2424,0.38,0.1343,169
0.24,0.2576,0.38,0.1045,132
0.22,0.2273,0.47,0.1642,89
0.2,0.197,0.51,0.194,43
0.2,0.2576,0.47,0,19
0.18,0.2424,0.55,0,11
0.16,0.2273,0.64,0,4
0.16,0.2273,0.64,0,2
0.16,0.197,0.64,0.0896,1
0.14,0.1667,0.63,0.1045,36
0.16,0.2273,0.59,0,95
0.16,0.2273,0.59,0,219
0.18,0.2424,0.51,0,122
0.2,0.2576,0.47,0,45
0.26,0.2879,0.35,0,84
0.26,0.2727,0.35,0.1045,67
0.28,0.2727,0.36,0.1642,70
0.28,0.2727,0.36,0,62
0.26,0.2576,0.38,0.1642,86
0.22,0.2273,0.51,0.1343,163
0.22,0.2576,0.55,0.0896,112
0.2,0.2121,0.51,0.1642,69
0.22,0.2121,0.55,0.2239,48
0.22,0.2121,0.51,0.2836,52
0.2,0.197,0.64,0.194,17
0.2,0.197,0.69,0.2239,7
0.2,0.197,0.69,0.2239,1
0.2,0.2121,0.69,0.1343,1
0.22,0.2727,0.55,0,5
0.2,0.2121,0.69,0.1343,84
0.2,0.197,0.51,0.2537,210
0.2,0.1818,0.47,0.2985,134
0.22,0.197,0.37,0.3284,63
0.2,0.197,0.4,0.2239,67
0.2,0.1818,0.37,0.2836,73
0.2,0.197,0.4,0.2537,50
0.2,0.2121,0.37,0.1642,72
0.2,0.2121,0.37,0.1642,87
0.2,0.2576,0.37,0,187
0.16,0.197,0.55,0.0896,95
0.18,0.2121,0.47,0.1045,51
0.18,0.197,0.47,0.1343,39
0.18,0.197,0.43,0.1642,36
0.18,0.197,0.51,0.1642,15
0.18,0.2121,0.55,0.0896,16
0.18,0.2424,0.55,0,16
0.18,0.197,0.55,0.1642,7
0.18,0.197,0.55,0.1642,1
0.16,0.1667,0.74,0.1642,5
0.16,0.1818,0.74,0.1045,9
0.16,0.1818,0.93,0.1045,15
0.16,0.1818,0.93,0.1045,20
0.18,0.197,0.8,0.1642,61
0.2,0.1818,0.69,0.3881,62
0.2,0.1818,0.44,0.3284,102
